[number]	[x]	[y]
1-1454	5682407.26	7429779.22
O-5296	5681514.52	7429941.24
1-1457	5682388.04	7429739.62
O-5231	5681508.61	7429900.34
1-2450	5682338.04	7429740.28
1-1458	5682384.28	7429731.88
1-2527	5683601.17	7429815.03
1-2265	5682951.96	7429755.70
O-3504	5682735.58	7428271.24
O-3482	5682724.77	7428262.49
1-1168	5682611.62	7428421.13
1-1167	5682612.27	7428394.45
O-3440	5682690.30	7428234.61
1-1166	5682613.09	7428360.05
O-3424	5682672.25	7428220.00
1-38	5682594.50	7428327.26
1-37	5682613.25	7428353.57
1-1250	5682681.19	7428418.62
1-9	5682761.83	7428406.80	56
O-3597	5682831.78	7428366.19
O-3550	5682767.71	7428297.24
1-1344	5683330.49	7428704.19
1-1341	5682471.02	7428710.76
1-1090	5681912.02	7428273.13
1-1211	5681971.97	7428236.09
1-1089	5681935.92	7428210.54
1-1226	5681949.26	7428282.33
1-1231	5681911.20	7428332.65
1-1232	5681903.99	7428317.22
1-1230	5681917.70	7428346.57
1-1095	5681870.54	7428376.59
1-1229	5681923.76	7428359.56
1-1247	5682261.94	7428336.22
1-1179	5682477.10	7428284.63
1-1228	5682256.25	7428308.71
1-1079	5682057.39	7427868.04
1-1130	5682315.25	7427957.01
1-1077	5682062.01	7427850.14
O-3031	5682218.92	7427898.00
1-1080	5682056.02	7427873.37
1-1133	5682304.04	7427972.42
1-1135	5682297.94	7427980.81
1-1083	5682034.85	7427940.88
O-3086	5682332.49	7427943.26
1-1084	5682025.47	7427967.87
1-1141	5682244.98	7428053.57
1-34	5682211.87	7428093.97
1-1085	5682006.86	7428021.40
1-1207	5682222.86	7428147.14
1-1185	5682263.35	7428134.23
1-1196	5682217.46	7428121.00
1-1088	5681937.04	7428207.58
1-1209	5682226.22	7428163.39
1-1184	5682281.02	7428146.61
1-1225	5682233.06	7428196.49
1-1182	5682315.34	7428170.67
1-1216	5682229.48	7428179.16
1-1187	5682212.88	7428098.87
1-1181	5682387.37	7428221.14
1-1177	5682592.68	7428329.88
1-1172	5682609.46	7428429.13
1-860	5681196.45	7427705.41
1-1260	5681858.88	7428554.14
O-3865	5681445.54	7428587.17
1-1305	5681537.87	7428542.01
O-3860	5681441.54	7428581.67
1-924	5681541.87	7428537.12
1-925	5681539.09	7428538.26
1-926	5681535.24	7428530.21
O-3770	5681381.64	7428499.47
1-929	5681515.49	7428457.30
O-5307	5682479.90	7429948.46
1-1443	5682467.20	7429891.38
O-5312	5682467.71	7429950.70
1-1445	5682458.74	7429880.42
1-10015	5682445.98	7429854.06
O-5304	5682497.80	7429945.16
O-5300	5682506.17	7429943.63
O-4913	5681467.33	7429624.09
1-1476	5682255.33	7429470.15
1-1373	5681845.09	7428834.04
1-1721	5681917.89	7428820.79
1-1372	5681837.81	7428825.94
1-1717	5682022.34	7428884.20
1-1378	5681900.36	7428906.45
1-1379	5681915.57	7428926.25
1-1380	5681987.09	7429018.72
1-1708	5682347.70	7429084.58
1-1390	5682100.99	7429171.24
1-1707	5682383.71	7429106.21
1-1391	5682108.36	7429181.23
1-1392	5682124.09	7429202.57
1-1704	5682445.01	7429143.03
1-1703	5682482.77	7429165.71
1-2029	5682249.20	7429312.87
1-1699	5682612.58	7429248.00
1-2018	5682541.07	7429241.78
1-2019	5682246.01	7429295.02
1-1993	5682539.60	7429232.60
1-1366	5681948.90	7428836.41
1-31	5682466.21	7428700.11
1-2299	5682586.32	7429537.73
1-2282	5682914.30	7429478.09
1-1723	5681889.33	7428807.98
1-1371	5681828.91	7428816.03
O-4109	5681354.19	7428841.71
O-4043	5681348.09	7428797.99
O-4137	5681355.54	7428851.42
1-1518	5681371.35	7428862.75
O-4161	5681357.44	7428865.02
1-1510	5681763.12	7428723.59
1-1512	5681522.28	7428810.92
1-1508	5681787.50	7428772.14
O-4203	5681363.85	7428911.49
1-1504	5681825.52	7428828.16
O-4192	5681362.32	7428900.41
O-4181	5681359.82	7428882.27
1-1514	5681468.05	7428840.60
1-1516	5681373.45	7428872.54
O-4283	5681380.74	7429020.71
1-703	5681885.11	7428909.21
O-4260	5681377.35	7428998.77
O-2757	5681197.69	7427623.14
1-872	5681191.23	7427820.85
1-871	5681190.42	7427833.68
1-870	5681182.14	7427841.79
1-869	5681092.11	7427854.29
O-3024	5681094.18	7427897.47
O-3035	5681014.36	7427903.24
O-5208	5684128.94	7429888.04
O-5192	5684128.38	7429880.86
O-5212	5683996.57	7429888.51
1-2226	5682911.86	7429439.83
1-1234	5681152.44	7428292.56
1-2072	5682869.61	7429412.62
