[number]	[x]	[y]
1-2628	5682337.48	7429873.26
1-2667	5681568.82	7430012.55
1-2665	5681594.40	7430007.91
1-2661	5681641.34	7429999.41
1-2660	5681665.65	7429995.00
1-2657	5681718.61	7429985.40
1-2652	5681788.42	7429972.75
1-2651	5681805.54	7429969.65
1-2645	5681877.07	7429956.69
1-2644	5681903.23	7429951.91
1-2643	5681929.44	7429947.20
O-5441	5681918.29	7430052.04
O-5439	5681944.75	7430046.27
1-2557	5682548.69	7429834.91
O-5287	5682545.97	7429936.50
O-5182	5682872.23	7429878.01
O-5180	5682883.13	7429876.06
O-5173	5682899.52	7429874.60
O-5171	5682910.45	7429873.71
O-5157	5682915.98	7429864.84
1-2451	5683019.23	7429747.86
1-2264	5682951.59	7429741.62
1-2324	5682977.00	7429587.26
1-2378	5683457.93	7429628.64
1-2377	5683472.07	7429636.00
1-2376	5683485.87	7429643.18
1-2375	5683517.90	7429659.85
1-1885	5683705.22	7429742.71
1-1884	5683709.11	7429736.94
1-1873	5683754.38	7429666.75
1-1872	5683758.65	7429660.14
1-1869	5683767.38	7429646.65
1-1861	5683798.72	7429563.91
1-1844	5683780.11	7429403.59
1-1839	5683765.16	7429349.63
1-1820	5683739.54	7429220.68
1-1814	5683739.34	7429173.99
1-1795	5683737.21	7429160.09
1-1955	5683736.43	7429206.79
1-1954	5683736.88	7429213.68
1-2277	5682933.67	7429613.55
1-2262	5682951.05	7429722.54
1-10002	5682950.83	7429714.86
1-2399	5683251.38	7429612.51
O-4964	5684113.75	7429692.45
O-4970	5684114.31	7429699.55
O-4967	5684114.08	7429696.56
1-2410	5683412.67	7429649.74
1-2403	5683280.62	7429623.47
1-2402	5683415.51	7429636.42
1-2482	5683665.02	7429794.05
1-2440	5683629.91	7429783.32
1-2518	5683329.49	7429763.76
1-2517	5683393.08	7429769.50
1-2445	5683060.94	7429732.39
1-2144	5682901.80	7429387.99
1-2143	5683090.67	7429402.39
1-636	5681765.69	7428659.71
1-32	5682347.16	7428549.90
1-36	5682605.50	7428429.71
1-1255	5682312.06	7428479.65
1-20009	5682063.01	7427835.85
O-2972	5682054.20	7427832.34
1-33	5682277.14	7428409.76
1-534	5681919.31	7428469.53
1-532	5681914.27	7428430.34
1-1233	5681920.17	7428311.98
1-2698	5681936.64	7428355.43
1-918	5681518.60	7428419.90
1-916	5681518.45	7428339.55
1-917	5681518.56	7428398.80
1-961	5681493.00	7427919.70
O-3243	5681047.89	7428072.74
1-2078	5682774.06	7429353.59
1-2127	5682565.19	7429392.89
1-2128	5682305.53	7429440.05
1-1403	5682254.22	7429443.92
1-1293	5681573.37	7428570.78
1-1294	5681574.83	7428574.50
1-1979	5683744.16	7429187.74
1-1974	5683742.33	7429174.26
1-1968	5683835.63	7429175.55
1-1969	5683741.33	7429166.93
1-1790	5683274.18	7429110.88
1-1965	5683234.35	7429160.94
1-1975	5683550.02	7429196.62
1-1971	5683232.13	7429167.59
1-1991	5683395.92	7429221.87
1-1992	5683219.39	7429205.74
1-2007	5683474.77	7429242.77
1-1780	5683144.75	7429119.34
1-1265	5682772.15	7428478.21
1-1264	5682769.36	7428458.93
O-3604	5682838.92	7428374.29
1-1327	5682790.97	7428605.48
1-1273	5683268.28	7428669.69
1-10011	5683292.05	7428680.85
O-2798	5681556.49	7427663.50
1-856	5681539.65	7427702.14
1-974	5681530.93	7427720.79
1-932	5681515.07	7428399.92
1-928	5681515.61	7428473.01
1-2405	5682518.08	7429689.80
1-1419	5682386.28	7429713.97
1-1468	5682295.44	7429551.42
1-1467	5682300.56	7429561.95
1-1464	5682324.84	7429611.87
1-1459	5682380.38	7429723.87
1-702	5681872.19	7428890.95
1-1496	5681990.82	7429049.35
1-1495	5681993.83	7429053.42
1-1494	5682022.96	7429091.58
1-1323	5681855.40	7428759.86
1-68	5681669.09	7428507.00
O-3953	5683293.29	7428676.73
1-20010	5683199.08	7428631.67
O-3881	5683127.96	7428598.33
O-2962	5681992.32	7427814.14
O-2809	5681576.93	7427669.15
O-4980	5681480.26	7429710.64
O-7164	5681479.06	7429701.40
O-5549	5681590.38	7430109.81
O-5487	5681763.88	7430079.28
O-5189	5684128.11	7429880.33
O-5153	5684126.96	7429862.51
O-5063	5684121.95	7429798.04
O-5062	5684121.94	7429797.89
O-5053	5684121.47	7429791.76
O-5030	5684120.02	7429773.02
O-5004	5684117.48	7429740.33
O-4976	5684114.85	7429706.53
O-4975	5684114.74	7429705.06
O-4979	5684115.13	7429710.04
O-4930	5684110.22	7429648.46
O-4931	5684110.71	7429654.51
O-4893	5684106.25	7429598.87
O-4890	5684105.97	7429595.40
O-4800	5684100.99	7429521.63
O-4785	5684100.22	7429508.59
O-4749	5684097.62	7429464.63
O-4728	5684095.72	7429432.45
O-4716	5684095.04	7429420.99
1-2123	5683766.20	7429349.73
O-4683	5684092.83	7429383.64
O-4675	5684092.40	7429376.31
O-4611	5684087.37	7429316.81
O-4541	5684080.47	7429251.91
O-4323	5683645.07	7429056.54
O-4322	5683645.37	7429055.52
O-4362	5683633.05	7429097.70
O-4355	5683634.17	7429093.86
1-10040	5683254.21	7429064.91
O-4376	5683629.83	7429108.71
O-4372	5683630.52	7429106.35
O-4311	5683647.96	7429046.65
O-4285	5683655.25	7429021.68
O-4276	5683657.63	7429013.62
O-4227	5683678.34	7428943.43
O-4214	5683683.72	7428925.18
O-4208	5683686.81	7428914.71
O-4202	5683688.16	7428910.14
O-4197	5683689.53	7428905.52
O-4183	5683694.98	7428887.04
O-4143	5683635.11	7428854.35
O-4115	5683605.42	7428845.86
O-4050	5683515.25	7428806.24
O-4046	5683508.18	7428802.53
O-4042	5683499.60	7428797.53
O-4014	5683458.22	7428773.43
O-4012	5683449.65	7428768.44
O-4004	5683433.29	7428758.91
O-2940	5681918.79	7427797.42
O-2803	5681067.35	7427667.69
O-2932	5681078.51	7427787.25
O-2979	5681086.35	7427842.39
1-20011	5681094.03	7427896.43
O-2848	5681071.34	7427711.70
O-2861	5681072.65	7427726.11
O-3809	5681401.07	7428526.15
O-3787	5681390.88	7428512.16
O-3797	5681396.08	7428519.30
O-3825	5681416.64	7428547.51
O-3772	5681383.48	7428501.99
O-3779	5681386.48	7428506.12
O-3715	5681355.61	7428463.76
O-3650	5681326.27	7428423.50
O-3678	5681336.51	7428437.55
O-3906	5681474.51	7428631.81
O-3910	5681477.03	7428635.68
O-3935	5681491.98	7428655.46
O-3945	5681503.54	7428670.76
O-3955	5681512.51	7428682.63
O-3963	5681523.74	7428697.50
O-3866	5681445.69	7428587.37
O-3886	5681458.25	7428606.73
O-3901	5681470.54	7428625.69
O-4189	5681361.98	7428897.94
O-4248	5681374.43	7428979.90
O-4256	5681376.45	7428992.95
O-4742	5681442.26	7429451.21
O-4883	5681462.38	7429590.99
O-5080	5681495.76	7429814.39
O-5078	5681495.50	7429812.62
O-5138	5681500.86	7429848.52
O-5085	5681496.49	7429819.25
O-5162	5681503.42	7429865.65
O-5199	5681505.98	7429882.74
O-5255	5681511.28	7429918.21
O-5256	5681511.36	7429918.76
O-5261	5681511.70	7429921.18
O-4427	5681401.22	7429160.53
O-4440	5681402.47	7429169.38
O-4446	5681403.45	7429176.32
O-4600	5681421.77	7429306.10
O-4603	5681422.35	7429310.24
O-4617	5681424.24	7429323.61
O-4659	5681428.88	7429356.46
O-4636	5681426.23	7429337.68
O-4690	5681433.70	7429390.63
O-4662	5681429.49	7429360.78
O-4681	5681432.60	7429382.81
O-4341	5681389.30	7429076.06
O-4336	5681388.81	7429072.92
O-4399	5681396.87	7429129.66
O-4590	5681420.38	7429296.27
O-4695	5681434.51	7429396.35
O-4724	5681439.05	7429428.47
O-5007	5681485.45	7429745.34
O-4925	5681469.13	7429636.16
O-4934	5681472.07	7429655.85
O-4820	5681455.20	7429542.90
O-4846	5681457.94	7429561.29
O-4768	5681447.15	7429485.89
O-4547	5681414.39	7429253.82
O-5356	5682272.33	7429986.50
O-5378	5682183.00	7430002.80
O-5375	5682196.25	7430000.38
O-5394	5682121.33	7430014.05
O-5390	5682136.67	7430011.25
O-5429	5681962.01	7430043.12
O-5420	5681998.76	7430036.42
O-5449	5681880.24	7430058.05
O-5469	5681827.69	7430067.64
O-5481	5681788.33	7430074.81
O-5493	5681738.29	7430083.78
O-5502	5681720.69	7430086.88
O-5497	5681729.94	7430085.25
O-5505	5681711.14	7430088.56
O-5522	5681654.24	7430098.57
O-5518	5681664.79	7430096.72
O-5562	5681563.32	7430114.57
O-5559	5681577.50	7430112.08
O-5330	5682387.42	7429965.50
O-2772	5681425.17	7427634.66
O-2769	5681343.26	7427632.62
O-2768	5681336.18	7427632.44
1-2081	5682738.42	7429330.28
1-2080	5682753.51	7429340.15
1-62	5682519.59	7429395.52
1-2108	5682560.35	7429362.57
