[x]	[y]	[x]	[y]
5681763.02	7428495.40	5681762.32	7428518.96
5681771.52	7428493.99	5681768.42	7428460.44
5681768.42	7428460.44	5681763.65	7428444.64
5681768.42	7428460.44	5681833.29	7428443.48
5681763.65	7428444.64	5681841.89	7428422.15
5681726.58	7428501.45	5681724.88	7428471.82
5681724.88	7428471.82	5681768.42	7428460.44
5681724.88	7428471.82	5681722.98	7428456.33
5681722.98	7428456.33	5681763.65	7428444.64
5681722.98	7428456.33	5681720.76	7428424.54
5681720.76	7428424.54	5681723.14	7428423.78
5681723.14	7428423.78	5681727.99	7428454.89
5681723.14	7428423.78	5681808.26	7428396.53
5681808.26	7428396.53	5681803.63	7428382.49
5681803.63	7428382.49	5681717.69	7428409.55
5681717.69	7428409.55	5681715.26	7428410.32
5681715.26	7428410.32	5681720.76	7428424.54
5681723.14	7428423.78	5681717.69	7428409.55
5681803.63	7428382.49	5681865.73	7428362.93
5681865.73	7428362.93	5681858.71	7428380.38
5681858.71	7428380.38	5681808.26	7428396.53
5681715.26	7428410.32	5681709.75	7428396.11
5681709.75	7428396.11	5681712.21	7428395.29
5681712.21	7428395.29	5681717.69	7428409.55
5681712.21	7428395.29	5681873.03	7428344.62
5681709.75	7428396.11	5681703.55	7428382.10
5681703.55	7428382.10	5681706.72	7428381.04
5681706.72	7428381.04	5681712.21	7428395.29
5681706.72	7428381.04	5681881.11	7428324.58
5681703.55	7428382.10	5681695.14	7428363.11
5681695.14	7428363.11	5681699.29	7428361.75
5681699.29	7428361.75	5681706.72	7428381.04
5681691.51	7428343.20	5681699.29	7428361.75
5681686.76	7428344.71	5681695.14	7428363.11
5681699.29	7428361.75	5681891.07	7428299.89
5681903.99	7428317.22	5681920.12	7428311.95
5681920.12	7428311.95	5681924.75	7428307.31
5681924.75	7428307.31	5681936.64	7428355.43
5681924.75	7428307.31	5681949.26	7428282.33
5681949.26	7428282.33	5681902.52	7428296.47
5681949.26	7428282.33	5682233.06	7428196.49
5681949.26	7428282.33	5681977.22	7428253.83
5681924.29	7428211.52	5681941.66	7428164.00
5681941.66	7428164.00	5681958.15	7428118.91
5681941.66	7428164.00	5681786.57	7428213.70
5681786.57	7428213.70	5681654.03	7428256.12
5681654.03	7428256.12	5681670.08	7428292.13
5681666.40	7428293.31	5681651.86	7428256.98
5681651.86	7428256.98	5681654.03	7428256.12
5681651.86	7428256.98	5681637.48	7428221.04
5681637.48	7428221.04	5681638.21	7428220.65
5681637.48	7428221.04	5681631.68	7428206.55
5681631.68	7428206.55	5681632.47	7428206.23
5681631.68	7428206.55	5681628.87	7428199.44
5681628.87	7428199.44	5681629.66	7428199.16
5681628.87	7428199.44	5681625.92	7428192.15
5681625.92	7428192.15	5681626.74	7428191.83
5681625.92	7428192.15	5681621.60	7428181.58
5681621.60	7428181.58	5681622.54	7428181.28
5681621.60	7428181.58	5681617.22	7428170.62
5681981.33	7428055.53	5681976.56	7428068.58
5681976.56	7428068.58	5681971.49	7428082.42
5681976.56	7428068.58	5681622.54	7428181.28
5681568.63	7428036.58	5681566.97	7428031.32
5681566.97	7428031.32	5681567.41	7428031.18
5681567.41	7428031.18	5681605.37	7428019.11
5681605.37	7428019.11	5681601.65	7428006.89
5681601.65	7428006.89	5681563.15	7428019.10
5681563.15	7428019.10	5681561.31	7428013.17
5681563.15	7428019.10	5681567.41	7428031.18
5681566.97	7428031.32	5681563.19	7428019.33
5681567.41	7428031.18	5681569.28	7428036.38
5681601.65	7428006.89	5682045.63	7427865.90
5682045.63	7427865.90	5682042.32	7427878.85
5682042.32	7427878.85	5682041.87	7427880.24
5682041.87	7427880.24	5681605.37	7428019.11
5682047.51	7427858.82	5682045.63	7427865.90
5682041.87	7427880.24	5682039.50	7427887.83
5682047.51	7427858.82	5682051.61	7427842.47
5682051.61	7427842.47	5682054.22	7427832.34
5682051.61	7427842.47	5681576.93	7427994.50
5681576.93	7427994.50	5681581.52	7427950.14
5681581.52	7427950.14	5681992.32	7427814.14
5681992.32	7427814.14	5682013.97	7427819.06
5681984.11	7427812.27	5681992.32	7427814.14
5681529.43	7427924.60	5681535.37	7427943.71
5681535.37	7427943.71	5681539.52	7427956.88
5681535.37	7427943.71	5681532.57	7427944.65
5681543.92	7427772.08	5681536.43	7427815.70
5681540.34	7427814.95	5681536.43	7427815.70
5681536.43	7427815.70	5681536.10	7427827.30
5681536.10	7427827.30	5681540.22	7427826.32
