5683060.94	7429732.39	1-2445	0.00	5683281.22	7429752.12	1-2506	0.00
5683060.94	7429732.39	1-2445	0.00	5682951.05	7429722.54	1-2262	0.00
5682951.05	7429722.54	1-2262	0.00	5682951.24	7429729.61	1-2263	0.00
5682951.24	7429729.61	1-2263	0.00	5682951.59	7429741.62	1-2264	0.00
5682951.59	7429741.62	1-2264	0.00	5682951.96	7429755.70	1-2265	0.00
5682951.59	7429741.62	1-2264	0.00	5683019.23	7429747.86	1-2451	0.00
5683019.23	7429747.86	1-2451	0.00	5683021.05	7429735.91	1-2449	0.00
5683021.05	7429735.91	1-2449	0.00	5682951.24	7429729.61	1-2263	0.00
5683021.05	7429735.91	1-2449	0.00	5683060.30	7429739.45	1-2448	0.00
5683517.83	7429659.78	1-2375	0.10	5683485.87	7429643.18	1-2376	0.00
5683485.87	7429643.18	1-2376	0.00	5683415.51	7429636.42	1-2402	0.00
5683415.51	7429636.42	1-2402	0.00	5683412.67	7429649.74	1-2410	0.00
5683412.67	7429649.74	1-2410	0.00	5683517.83	7429659.78	1-2375	0.10
5683517.83	7429659.78	1-2375	0.10	5683534.45	7429668.25	1-2374	0.70
5683485.87	7429643.18	1-2376	0.00	5683472.64	7429636.06	1-2377	0.60
5683415.51	7429636.42	1-2402	0.00	5683280.62	7429623.47	1-2403	0.00
5683280.62	7429623.47	1-2403	0.00	5683278.47	7429636.85	1-2407	0.00
5683278.47	7429636.85	1-2407	0.00	5683412.67	7429649.74	1-2410	0.00
5683280.62	7429623.47	1-2403	0.00	5682970.35	7429593.67	1-2325	0.00
5682970.35	7429593.67	1-2325	0.00	5682957.54	7429606.03	1-2326	0.00
5682957.54	7429606.03	1-2326	0.00	5683278.47	7429636.85	1-2407	0.00
5682977.00	7429587.26	1-2324	0.00	5682970.35	7429593.67	1-2325	0.00
5682957.54	7429606.03	1-2326	0.00	5682951.71	7429611.65	1-2327	0.00
5682945.05	7429695.10	1-2271	0.00	5682943.27	7429682.31	1-2272	0.00
5682943.27	7429682.31	1-2272	0.00	5682939.69	7429656.55	1-2273	0.00
5682939.69	7429656.55	1-2273	0.00	5682938.46	7429647.73	1-2274	0.00
5682935.04	7429623.16	1-2	0.00	5682933.67	7429613.55	1-2277	0.00
5682933.67	7429613.55	1-2277	0.00	5682930.07	7429588.40	1-2278	0.00
5682930.07	7429588.40	1-2278	0.00	5682925.23	7429554.54	1-2279	0.00
5682930.07	7429588.40	1-2278	0.00	5682595.15	7429649.84	1-2391	0.10
5682595.15	7429649.84	1-2391	0.10	5682374.54	7429690.73	1-518	0.00
5682374.54	7429690.73	1-518	0.00	5682375.55	7429692.73	1-1418	0.00
5682375.55	7429692.73	1-1418	0.00	5682509.16	7429668.59	1-2406	0.00
5682509.16	7429668.59	1-2406	0.00	5682518.08	7429689.80	1-2405	0.00
5682518.08	7429689.80	1-2405	0.00	5682386.28	7429713.97	1-1419	0.00
5682386.28	7429713.97	1-1419	0.00	5682375.55	7429692.73	1-1418	0.00
5682386.28	7429713.97	1-1419	0.00	5682390.22	7429722.05	1-1420	0.00
5682518.08	7429689.80	1-2405	0.00	5682597.17	7429675.28	1-2404	0.10
5682597.17	7429675.28	1-2404	0.10	5682933.67	7429613.55	1-2277	0.00
5682904.42	7429407.03	1-2171	0.40	5682903.98	7429404.25	1-2169	0.00
5682903.98	7429404.25	1-2169	0.00	5683087.32	7429415.40	1-2155	0.00
5683087.32	7429415.40	1-2155	0.00	5683088.97	7429408.97	1-2151	0.00
5683088.97	7429408.97	1-2151	0.00	5682903.01	7429397.02	1-2145	0.00
5682903.01	7429397.02	1-2145	0.00	5682903.74	7429402.47	1-2146	0.00
5682903.74	7429402.47	1-2146	0.00	5682903.98	7429404.25	1-2169	0.00
5682903.01	7429397.02	1-2145	0.00	5682901.80	7429387.99	1-2144	0.00
5682901.80	7429387.99	1-2144	0.00	5683090.67	7429402.39	1-2143	0.00
5683090.67	7429402.39	1-2143	0.00	5683088.97	7429408.97	1-2151	0.00
5683090.67	7429402.39	1-2143	0.00	5683093.86	7429389.94	1-2142	0.00
5683093.86	7429389.94	1-2142	0.00	5682900.05	7429374.97	1-2136	0.00
5682900.05	7429374.97	1-2136	0.00	5682901.80	7429387.99	1-2144	0.00
5682900.05	7429374.97	1-2136	0.00	5682899.49	7429370.80	1-2135	0.00
5683093.86	7429389.94	1-2142	0.00	5683148.01	7429394.12	1-1605	0.00
5683148.01	7429394.12	1-1605	0.00	5683137.82	7429418.47	1-1604	0.00
5683137.82	7429418.47	1-1604	0.00	5683087.32	7429415.40	1-2155	0.00
5683148.01	7429394.12	1-1605	0.00	5683149.71	7429390.06	1-1606	0.00
5683137.82	7429418.47	1-1604	0.00	5683132.18	7429431.94	1-1603	0.00
5683197.34	7429276.40	1-1565	0.00	5683199.00	7429269.71	1-1564	0.00
5683199.00	7429269.71	1-1564	0.00	5683198.81	7429269.87	1-1564	0.30
5683199.00	7429269.71	1-1564	0.00	5683200.36	7429264.26	1-1563	0.00
5683200.36	7429264.26	1-1563	0.00	5683200.84	7429262.30	1-1562	0.00
5683200.36	7429264.26	1-1563	0.00	5683296.92	7429273.39	1-2044	0.00
5683215.86	7429212.41	1-1553	0.00	5683218.00	7429205.61	1-1552	0.00
5683218.00	7429205.61	1-1552	0.00	5683219.56	7429205.79	1-1992	0.20
