[numer]	[x]	[y]
19-1135	5685444.11	7423919.85
19-1132	5685435.46	7423943.32
19-898	5685458.46	7423985.02
19-899	5685457.90	7423982.03
19-556	5685591.61	7423993.36
19-1422	5685593.50	7423988.27
19-551	5685547.98	7423942.74
19-552	5685540.23	7423946.31
19-841	5685519.94	7424000.47
19-1098	5685547.28	7424112.58
19-1076	5685558.36	7424082.78
19-1078	5685497.63	7424060.03
19-971	5685369.67	7424259.18
19-546	5685543.37	7423867.41
19-783	5685511.94	7423868.28
19-1149	5685559.99	7423876.47
19-1131	5685546.45	7423912.61
19-924	5685531.80	7423951.74
19-508	5685478.25	7423757.15
19-2162	5685474.43	7423755.75
19-1510	5685436.19	7423875.75
19-507	5685437.39	7423875.42
19-2154	5685486.15	7423760.10
19-1509	5685463.31	7423868.34
19-1585	5685488.56	7423861.53
19-1516	5685489.78	7423858.35
19-262	5685580.36	7423500.81
19-2155	5685575.69	7423513.65
19-997	5685531.44	7423816.15
19-1523	5685493.63	7423856.71
19-2182	5685664.20	7423823.43
19-2181	5685771.43	7423527.16
19-1159	5685663.52	7423812.43
19-2164	5685584.12	7423796.42
19-2163	5685682.78	7423521.04
19-914	5685584.53	7423796.56
19-31	5685589.37	7423798.37
19-906	5685563.34	7423868.69
19-815	5685575.36	7423836.27
19-909	5685572.42	7423835.35
19-912	5685552.70	7423863.36
19-226	5685735.22	7423512.78
19-820	5685638.55	7423814.88
19-819	5685622.22	7423809.37
19-818	5685605.80	7423803.87
19-811	5685570.07	7423876.92
19-837	5685581.27	7423884.25
19-907	5685567.55	7423871.70
19-836	5685566.39	7423874.79
19-813	5685562.14	7423872.33
19-1170	5685610.02	7423900.15
19-1171	5685596.97	7423891.86
19-838	5685596.18	7423893.64
19-810	5685588.33	7423888.87
19-2183	5685788.49	7423528.34
19-225	5685790.52	7423522.71
19-682	5685678.99	7423828.39
19-812	5685628.55	7423906.00
19-685	5685632.63	7423906.21
19-636	5686102.50	7424169.41
19-616	5686183.63	7424198.98
19-633	5686132.82	7424165.11
19-627	5686272.56	7424189.82
19-628	5686278.41	7424174.46
19-632	5686207.90	7424148.75
19-615	5686258.56	7424226.02
19-338	5686199.29	7424214.26
19-339	5686057.43	7424162.73
19-2464	5686014.61	7424407.27
19-2466	5686058.84	7424388.51
19-1816	5686017.57	7424386.49
19-2287	5686012.88	7424386.26
19-2288	5686012.08	7424388.42
19-26	5686007.23	7424409.52
19-657	5685865.49	7424397.70
19-660	5685928.57	7424369.86
19-652	5685991.23	7424449.51
19-1109	5685996.95	7424430.07
19-1108	5685938.58	7424408.91
19-2458	5685848.99	7424341.01
19-2471	5685792.03	7424320.37
19-1107	5685999.58	7424421.14
19-651	5686004.93	7424397.54
19-659	5685910.97	7424420.39
19-1172	5686007.39	7424386.70
19-1176	5685945.50	7424353.05
19-3	5685814.57	7424603.21
19-665	5685855.80	7424617.96
19-679	5685862.93	7424590.15
19-2	5685816.26	7424599.69
19-4	5685570.56	7424510.54
19-1341	5685531.86	7424474.16
19-290	5685532.36	7424474.52
19-1327	5685960.57	7424639.20
19-664	5685964.42	7424626.70
19-1329	5685928.31	7424613.39
19-678	5685902.05	7424603.90
19-668	5685942.97	7424665.24
19-663	5685944.44	7424661.47
19-662	5685953.11	7424652.77
19-674	5685803.02	7424599.08
19-1182	5685784.22	7424619.84
19-527	5685738.05	7424605.55
19-1180	5685742.47	7424607.15
19-1284	5685691.27	7424583.65
19-1822	5685632.76	7424567.36
19-1285	5685690.72	7424585.20
19-406	5685630.87	7424563.48
19-1821	5685626.83	7424562.02
19-1183	5685784.16	7424619.99
19-1820	5685621.38	7424557.12
19-521	5685840.92	7424642.86
19-671	5685850.77	7424646.43
19-515	5685936.62	7424717.30
19-516	5685939.50	7424700.70
19-520	5685825.72	7424684.83
19-522	5685786.77	7424670.51
19-523	5685800.60	7424632.31
19-524	5685747.90	7424656.23
19-513	5685691.67	7424635.55
19-512	5685669.35	7424606.17
19-362	5685695.30	7424636.88
19-572	5685732.18	7424701.49
19-575	5685830.75	7424723.30
19-573	5685721.00	7424683.30
19-807	5685910.92	7424796.93
19-805	5685911.96	7424790.72
19-802	5685785.84	7424768.64
19-804	5685743.86	7424718.25
19-803	5685778.53	7424765.49
19-801	5685780.58	7424767.59
19-1001	5685941.24	7424813.01
19-2316	5685920.67	7424847.49
19-1882	5685938.69	7424822.67
19-2351	5685937.32	7424817.34
19-2354	5685913.36	7424812.65
19-6	5685943.81	7424821.55
O-300	5686000.58	7424829.26
19-2468	5685997.78	7424840.00
19-1452	5685991.16	7424866.04
19-1879	5685993.87	7424855.98
19-1880	5685977.26	7424854.06
19-1901	5685976.85	7424876.65
19-1894	5685984.17	7424876.86
19-1857	5685460.08	7424662.26
19-1865	5685628.38	7424724.52
19-719	5685551.24	7424681.82
19-717	5685508.99	7424666.60
19-1856	5685464.50	7424650.58
19-1864	5685623.98	7424736.81
19-1210	5685665.83	7424745.04
19-1252	5685684.28	7424691.31
19-716	5685645.05	7424677.84
19-769	5685901.12	7424823.75
19-770	5685909.33	7424828.97
19-771	5685907.79	7424824.26
19-768	5685887.50	7424846.94
19-1290	5685915.31	7424847.20
19-408	5685887.48	7424822.72
19-1836	5685776.23	7424767.41
19-701	5685480.38	7424625.53
19-10	5685726.24	7424699.36
19-691	5685647.11	7424672.19
19-1855	5685478.28	7424614.23
19-11	5685747.80	7424734.64
19-699	5685735.86	7424709.02
19-644	5685878.84	7424861.00
19-646	5685908.06	7424858.46
19-727	5685908.91	7424867.58
19-1287	5685914.86	7424867.07
19-1288	5685921.60	7424866.49
19-1289	5685916.91	7424852.23
19-645	5685887.45	7424851.94
19-542	5685855.44	7424851.19
19-545	5685853.55	7424853.13
19-586	5685854.64	7424871.77
19-591	5685856.75	7424873.65
19-592	5685872.45	7424872.73
19-643	5685871.90	7424861.51
19-2329	5685924.51	7424875.25
19-728	5685909.43	7424873.18
19-541	5685848.42	7424851.02
19-1885	5685988.78	7424892.07
19-1886	5685987.89	7424945.96
O-334	5685987.95	7424947.04
19-1956	5685953.49	7424944.26
19-1954	5685974.08	7424943.83
19-2323	5685938.99	7424920.54
19-1948	5685939.36	7424930.25
19-1950	5685939.74	7424938.52
19-1959	5685940.89	7424938.43
19-1957	5685943.53	7424942.41
O-7199	5685943.61	7424947.24
O-339	5685905.66	7424948.54
O-338	5685934.12	7424947.56
19-1962	5685871.76	7424944.37
19-714	5685818.35	7424944.58
19-1964	5685831.97	7424948.36
19-1963	5685849.06	7424946.26
O-342	5685819.82	7424951.40
O-340	5685895.67	7424948.88
O-344	5685782.43	7424956.71
O-343	5685806.84	7424951.91
19-713	5685781.33	7424951.30
O-349	5685733.37	7424966.35
19-712	5685732.15	7424960.44
O-354	5685689.20	7424975.03
19-711	5685687.89	7424968.67
19-697	5685655.46	7424974.69
O-265	5685568.41	7424999.94
O-360	5685642.51	7424984.21
19-696	5685565.32	7424991.44
19-1945	5685431.88	7425016.25
O-385	5685320.80	7425036.87
19-708	5685780.04	7424945.02
19-706	5685686.31	7424960.96
19-695	5685653.79	7424966.49
19-694	5685563.36	7424981.92
19-1940	5685504.47	7424991.92
19-1943	5685466.00	7424998.46
19-1944	5685429.51	7425004.66
19-1947	5685390.05	7425011.37
O-380	5685326.32	7425022.18
19-705	5685815.90	7424933.18
19-1454	5685502.60	7424982.80
19-2244	5684764.02	7423842.15
19-1465	5684755.16	7423784.96
19-1466	5684758.16	7423797.73
19-1467	5684760.50	7423817.58
19-1468	5684763.33	7423837.36
19-1513	5684798.38	7423860.10
19-1512	5684827.55	7423798.02
19-83	5684835.54	7423784.84
19-2267	5684843.10	7423767.43
19-2268	5684826.47	7423797.16
19-1514	5684796.16	7423859.82
19-2250	5684863.06	7423737.05
19-2251	5684860.01	7423735.54
19-2238	5684839.23	7423726.10
19-2240	5684805.89	7423786.94
19-2241	5684767.90	7423856.26
19-1819	5684948.50	7423884.47
19-1062	5684946.68	7423884.20
19-1198	5684974.50	7423838.83
19-1320	5684927.76	7423876.35
19-579	5684939.27	7423755.22
19-537	5684894.83	7423871.56
19-1194	5684905.61	7423846.13
19-1185	5684915.00	7423824.02
19-1197	5684972.09	7423833.53
19-1196	5684965.82	7423832.85
19-1190	5684939.40	7423834.09
19-1191	5684935.07	7423844.86
19-1195	5684931.23	7423854.95
19-1193	5684924.57	7423872.42
19-1192	5684920.59	7423875.29
19-647	5685131.92	7423901.92
19-49	5685152.40	7423846.47
19-89	5685153.29	7423844.07
19-1638	5684654.08	7424048.46
19-1639	5684654.65	7424027.89
19-1923	5684660.92	7424009.19
19-1640	5684674.38	7423989.49
19-1552	5684684.78	7423980.24
19-1548	5684645.28	7423964.01
19-1930	5684623.90	7424004.48
19-1929	5684593.24	7424062.08
19-1634	5684573.48	7424138.10
19-1635	5684605.26	7424128.34
19-1842	5685689.11	7424637.17
19-1371	5685686.46	7424633.67
19-1372	5685675.14	7424629.51
19-1374	5685604.25	7424605.37
19-1336	5685495.71	7424568.47
