19-1363	5685588.46	7424317.97	0.00	19-654	5685592.97	7424306.87	0.00
19-1363	5685588.46	7424317.97	0.00	19-1362	5685575.27	7424354.27	0.00
19-1406	5685539.32	7424300.75	0.00	19-1363	5685588.46	7424317.97	0.00
19-1086	5685569.70	7424370.51	0.00	19-1362	5685575.27	7424354.27	0.00
19-1086	5685569.70	7424370.51	0.00	19-747	5685562.37	7424389.77	0.00
19-747	5685562.37	7424389.77	0.00	19-1361	5685562.16	7424390.35	0.00
19-746	5685554.91	7424410.15	0.00	19-1361	5685562.16	7424390.35	0.00
19-746	5685554.91	7424410.15	0.00	19-1360	5685549.06	7424426.18	0.00
19-750	5685540.91	7424448.47	0.00	19-1360	5685549.06	7424426.18	0.00
19-675	5685532.91	7424471.29	0.00	19-750	5685540.91	7424448.47	0.00
19-1341	5685531.86	7424474.16	0.00	19-675	5685532.91	7424471.29	0.00
19-675	5685532.91	7424471.29	0.00	19-1359	5685490.01	7424441.97	0.00
19-1358	5685478.31	7424433.72	0.00	19-1359	5685490.01	7424441.97	0.00
19-1359	5685490.01	7424441.97	0.00	19-1414	5685490.88	7424430.36	0.00
19-1414	5685490.88	7424430.36	0.00	19-1412	5685499.01	7424409.29	0.00
19-1412	5685499.01	7424409.29	0.00	19-1360	5685549.06	7424426.18	0.00
19-1410	5685512.19	7424372.96	0.00	19-1412	5685499.01	7424409.29	0.00
19-1410	5685512.19	7424372.96	0.00	19-1361	5685562.16	7424390.35	0.00
19-1410	5685512.19	7424372.96	0.00	19-1408	5685525.65	7424336.93	0.00
19-1408	5685525.65	7424336.93	0.00	19-1362	5685575.27	7424354.27	0.00
19-1408	5685525.65	7424336.93	0.00	19-1406	5685539.32	7424300.75	0.00
19-1406	5685539.32	7424300.75	0.00	19-1404	5685552.91	7424264.03	0.00
19-1402	5685566.81	7424227.36	0.00	19-1404	5685552.91	7424264.03	0.00
19-1404	5685552.91	7424264.03	0.00	19-1364	5685601.83	7424281.29	0.00
19-1402	5685566.81	7424227.36	0.00	19-1365	5685614.91	7424244.52	0.00
19-1402	5685566.81	7424227.36	0.00	19-1401	5685581.08	7424189.64	0.00
19-1366	5685628.29	7424207.86	0.00	19-1401	5685581.08	7424189.64	0.00
19-1399	5685594.96	7424152.46	0.00	19-1401	5685581.08	7424189.64	0.00
19-1367	5685642.44	7424170.72	0.00	19-1399	5685594.96	7424152.46	0.00
19-1397	5685608.41	7424115.60	0.00	19-1399	5685594.96	7424152.46	0.00
19-1375	5685656.58	7424133.95	0.00	19-1397	5685608.41	7424115.60	0.00
19-1397	5685608.41	7424115.60	0.00	19-1415	5685622.11	7424078.91	0.00
19-1383	5685698.20	7424025.55	0.00	19-1391	5685649.36	7424006.73	0.00
19-1380	5685684.68	7424061.37	0.00	19-1393	5685635.89	7424042.80	0.00
19-1415	5685622.11	7424078.91	0.00	19-1377	5685670.53	7424097.45	0.00
19-1415	5685622.11	7424078.91	0.00	19-1393	5685635.89	7424042.80	0.00
19-1393	5685635.89	7424042.80	0.00	19-1391	5685649.36	7424006.73	0.00
19-1391	5685649.36	7424006.73	0.00	19-1389	5685662.81	7423970.69	0.00
19-1386	5685672.63	7423934.80	0.00	19-1389	5685662.81	7423970.69	0.00
19-1386	5685672.63	7423934.80	0.00	19-1418	5685681.41	7423923.03	0.00
19-1418	5685681.41	7423923.03	0.00	19-1417	5685668.10	7423919.62	0.00
19-1418	5685681.41	7423923.03	0.00	19-1419	5685699.47	7423927.35	0.00
19-1338	5685728.99	7423939.85	0.00	19-1419	5685699.47	7423927.35	0.00
19-1338	5685728.99	7423939.85	0.00	19-1445	5685725.87	7423934.09	0.00
19-1445	5685725.87	7423934.09	0.00	19-460	5685673.28	7423918.02	0.00
19-28	5685711.98	7423989.74	0.00	19-1389	5685662.81	7423970.69	0.00
19-1740	5685755.44	7423980.13	0.00	19-1385	5685719.66	7423967.62	0.00
19-1675	5685912.38	7424100.26	0.00	19-1384	5685699.30	7424023.35	0.00
19-1382	5685694.92	7424034.74	0.00	19-1673	5685929.87	7424119.64	0.00
19-1381	5685689.80	7424048.05	0.00	19-1670	5685953.91	7424143.81	0.00
19-1379	5685683.98	7424063.16	0.00	19-1668	5685983.10	7424171.50	0.00
19-1378	5685677.99	7424078.75	0.00	19-1666	5686011.48	7424199.68	0.00
19-1663	5686050.62	7424244.90	0.00	19-1376	5685666.36	7424109.00	0.00
19-2340	5686053.76	7424277.49	0.00	19-1369	5685655.23	7424137.93	0.00
19-2338	5686041.80	7424307.17	0.00	19-1368	5685644.03	7424167.06	0.00
19-1174	5686027.60	7424336.78	0.00	19-27	5685633.90	7424194.82	0.00
19-1740	5685755.44	7423980.13	0.00	19-2460	5685779.81	7423989.01	0.00
19-2460	5685779.81	7423989.01	0.00	19-2459	5685782.30	7423982.21	0.00
19-2459	5685782.30	7423982.21	0.00	19-1921	5685774.32	7423975.35	0.00
19-1682	5685760.86	7423964.61	0.00	19-1921	5685774.32	7423975.35	0.00
19-1740	5685755.44	7423980.13	0.00	19-1682	5685760.86	7423964.61	0.00
19-1338	5685728.99	7423939.85	0.00	19-1682	5685760.86	7423964.61	0.00
19-1387	5685667.00	7423932.80	0.00	19-1417	5685668.10	7423919.62	0.00
19-1417	5685668.10	7423919.62	0.00	19-1416	5685664.20	7423918.37	0.00
19-1908	5685626.38	7423910.49	0.00	19-1416	5685664.20	7423918.37	0.00
19-460	5685673.28	7423918.02	0.00	19-1446	5685654.16	7423912.18	0.00
19-1446	5685654.16	7423912.18	0.00	19-1447	5685642.10	7423910.58	0.00
19-1447	5685642.10	7423910.58	0.00	19-1448	5685634.71	7423909.32	0.00
19-1448	5685634.71	7423909.32	0.00	19-1910	5685627.45	7423908.89	0.00
19-1910	5685627.45	7423908.89	0.00	19-1908	5685626.38	7423910.49	0.00
19-1908	5685626.38	7423910.49	0.00	19-1340	5685622.88	7423915.72	0.00
19-1130	5685611.38	7423940.23	0.00	19-1340	5685622.88	7423915.72	0.00
19-1130	5685611.38	7423940.23	0.00	19-1346	5685607.87	7423949.66	0.00
19-1388	5685657.21	7423968.55	0.00	19-1346	5685607.87	7423949.66	0.00
19-1123	5685605.09	7423957.10	0.00	19-1346	5685607.87	7423949.66	0.00
19-1150	5685618.71	7423913.41	0.00	19-1340	5685622.88	7423915.72	0.00
19-1150	5685618.71	7423913.41	0.00	19-1148	5685605.68	7423906.40	0.00
19-1147	5685593.63	7423898.80	0.00	19-1148	5685605.68	7423906.40	0.00
19-1146	5685565.94	7423879.78	0.00	19-1147	5685593.63	7423898.80	0.00
19-1146	5685565.94	7423879.78	0.00	19-1127	5685555.78	7423914.56	0.00
19-1149	5685559.99	7423876.47	0.00	19-1146	5685565.94	7423879.78	0.00
19-904	5685561.12	7423875.11	0.00	19-1149	5685559.99	7423876.47	0.00
19-1149	5685559.99	7423876.47	0.00	19-1131	5685546.45	7423912.61	0.00
19-1149	5685559.99	7423876.47	0.00	19-1163	5685549.12	7423870.44	0.00
19-1162	5685537.56	7423911.11	0.00	19-1163	5685549.12	7423870.44	0.00
19-466	5685549.66	7423868.48	0.00	19-1163	5685549.12	7423870.44	0.00
19-546	5685543.37	7423867.41	0.00	19-1163	5685549.12	7423870.44	0.00
19-553	5685515.21	7423859.29	0.00	19-546	5685543.37	7423867.41	0.00
19-547	5685526.88	7423905.42	0.00	19-930	5685534.40	7423922.82	0.00
19-930	5685534.40	7423922.82	0.00	19-1162	5685537.56	7423911.11	0.00
19-1131	5685546.45	7423912.61	0.00	19-1162	5685537.56	7423911.11	0.00
19-1131	5685546.45	7423912.61	0.00	19-922	5685538.92	7423933.13	0.00
19-1131	5685546.45	7423912.61	0.00	19-1127	5685555.78	7423914.56	0.00
